No of Employee,25,,
No of Buses,20,,
,,,
EMPLOYEE ID,DROP LOCATION,START TIME WINDOW,END TIME WINDOW
E100,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E101,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E102,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E103,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E104,"Hosakerehalli, Bengaluru, Karnataka, India",0,120
E105,"Bata Show Room, Jayanagar, Bangalore, Karnataka, India",0,120
E106,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E107,"Ittamadu, Banashankari, Bengaluru, Karnataka, India",0,120
E108,"Rajarajeshwari Temple, Bengaluru, Karnataka, India",0,120
E109,"Janta Bazaar, 27th A Cross Road, 4th Block, Jayanagar, Bengaluru, Karnataka, India",0,120
E110,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E111,"Hosakerehalli, Bengaluru, Karnataka, India",0,120
E112,"Double Road BEML Layout, BEML Layout, Rajarajeshwarinagar, Bengaluru, Karnataka",0,120
E113,"Hosakerehalli, Bengaluru, Karnataka, India",0,120
E114,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E115,"Sri Kamakya Theatre, Kathreguppe, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka, India",0,120
E116,"Kanti Sweets, 1st Main Road, BEML Layout, 5th Stage, RR Nagar, Bengaluru, Karnataka, India",0,120
E117,"Hosakerehalli, Bengaluru, Karnataka, India",0,120
E118,"Sri Veerabhadreshwara Theatre, 8th Main Road, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka, India",0,120
E119,"Jayanagar, Bengaluru, Karnataka, India",0,120
E120,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E121,"Kadirenahalli, Banashankari, Bengaluru, Karnataka, India",0,120
E122,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E123,"Mantri Apartments, Bannerghatta Main Road, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka, India",0,120
E124,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E125,"Uttarahalli Main Road, Manjunath Nagar, Samruddi Layout(Enclave), 2nd Stage, Uttarahalli Hobli, Bengaluru, Karnataka, India",,
E126,"Sri Kamakya Theatre, Kathreguppe, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka, India",,
E127,"Hosakerehalli, Bengaluru, Karnataka, India",,
E128,"Uttarahalli Road, Fort Kengeri, Kengeri Satellite Town, Bengaluru, Karnataka, India",,
,,,
BUS No.,BUS CAPACITY,,
v1,36,,
v2,20,,
v3,20,,
v4,20,,
v5,10,,
v6,10,,
v7,10,,
v8,10,,
v9,20,,
v10,20,,
v11,20,,
v12,20,,
v13,10,,
v14,10,,
v15,10,,
v16,10,,
v17,10,,
v18,10,,
v19,10,,
v20,10,,
,,,
END POINT,LOCATION,,
Office1,"Yelachenahalli Metro Station, Kanakapura Road, Jarganahalli, Yelachenahalli, Kumaraswamy Layout, Bengaluru, Karnataka",,
Office2,"42, Bidadi Industrial area, 2nd Phase, Sector II, Bidadi Hobli, Ramanagara Taluk, Gollara Palya, Karnataka 562109",,
